Line	Token no.	Token		Lexeme
1	1	Preprocessor directive	#include<stdio.h>
2	2	Identifier		        void
2	3	Identifier		        main
2	4	Special symbol		    (
2	5	Special symbol	    	)
3	6	Special symbol	    	{
4	7	Keyword			        int
4	8	Identifier	        	a
4	9	Special symbol	    	,
4	10	Identifier		       b
4	11	Special symbol		    ,
4	12	Identifier		        c  
4	13	Special symbol		    ;
5	14	Identifier	        	c
5	15	Operator		        =
5	16	Identifier		        a
5	17	Operator	        	+
5	18	Identifier	        	b
5	19	Special symbol		    ;
6	20	Keyword			        printf
6	21	Special symbol		    (
6	22	String			        "Sum is %d"
6	23	Special symbol		    ,
6	24	Identifier		        c   
6	25	Special symbol		    )
6	26	Special symbol		    ;
7	27	Identifier	         	a
7	28	Operator	          	=
7	29	Identifier	          	c
7	30	Operator		        -
7	31	Identifier	        	b
7	32	Special symbol	        ;
8	33	Keyword			        printf
8	34	Special symbol		    (
8	35	String			        "Difference is %d"
8	36	Special symbol		    ,
8	37	Identifier	        	a
8	38	Special symbol		    )
8	39	Special symbol	    	;
9	40	Keyword			        return
9	41	Digit		        	0
9	42	Special symbol	    	;
11	43	Special symbol	    	}

